Designator,Mid X,Mid Y,Rotation,Layer
J1,11.0,-11.99,180.0,bottom
R1,21.105,-15.062107,90.0,top
R2,19.105,-15.062107,90.0,top
R3,17.105,-15.062107,90.0,top
R4,15.105,-15.062107,90.0,top
R5,21.105,-3.062107,270.0,top
R6,19.105,-3.062107,270.0,top
R7,17.105,-3.062107,270.0,top
R8,15.105,-3.062107,270.0,top
SW2,29.25,-7.75,180.0,top
U1,18.105,-9.062107,90.0,top
